Host Nation,City/Town,Category,Surface,Tournament Name
Indonesia,Bali,M25,Outdoor - Hard,
India,Indore,M25,Outdoor - Hard,
USA,"Ithaca, NY",M25,Indoor - Hard,
France,Hazebrouck,M25,Indoor - Hard,
India,Bhopal,M25,Outdoor - Hard,
Norway,Oslo,M15,Indoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
Jamaica,Kingston,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Spain,Manacor,M15,Outdoor - Hard,
India,Chennai,M25,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Chile,Santiago,M15,Outdoor - Clay,
Qatar,Doha,M15,Outdoor - Hard,
Germany,Cadolzburg,M15,Indoor - Carpet,
Spain,Manacor,M15,Outdoor - Hard,
France,Bressuire,M15,Indoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
Jamaica,Kingston,M15,Outdoor - Hard,
Qatar,Doha,M25,Outdoor - Hard,
Germany,Nussloch,M25,Indoor - Carpet,
Great Britain,Sunderland,M25,Indoor - Hard,
Luxembourg,Esch-sur-Alzette,M25,Indoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Chile,Santiago,M15,Outdoor - Clay,
Spain,Manacor,M15,Outdoor - Hard,
France,Bagnoles de l'Orne,M15,Indoor - Clay,
Turkiye,Antalya,M15,Outdoor - Clay,
Turkiye,Antalya,M25,Outdoor - Clay,
Great Britain,Glasgow,M25,Indoor - Hard,
Kuwait,Zahra,M15,Outdoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Mexico,Huamantla,M15,Outdoor - Hard,
USA,"Palm Coast, FL",M15,Outdoor - Clay,
Turkiye,Antalya,M25,Outdoor - Clay,
Kuwait,Zahra,M15,Outdoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Spain,Valencia,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Mexico,Huamantla,M15,Outdoor - Hard,
USA,"Sunrise, FL",M15,Outdoor - Clay,
New Zealand,Timaru,M25,Outdoor - Hard,
Great Britain,Roehampton,M25,Indoor - Hard,
Uruguay,Punta del Este,M25,Outdoor - Clay,
Portugal,Vila Real de Santo António,M25,Outdoor - Hard,
Romania,Bucharest,M15,Indoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
Spain,Valencia,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Mexico,Huamantla,M15,Outdoor - Hard,
USA,"Naples, FL",M15,Outdoor - Clay,
Germany,Oberhaching,M15,Indoor - Hard,
Uruguay,Punta del Este,M25,Outdoor - Clay,
Portugal,Vila Real de Santo António,M25,Outdoor - Hard,
Italy,Trento,M25,Indoor - Hard,
Australia,Burnie,M25,Outdoor - Hard,
South Africa,Pretoria,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
USA,"NAPLES,FL",M15,Outdoor - Clay,
Spain,Villena,M15,Outdoor - Hard,
France,Lannion,M15,Indoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
Australia,Launceston,M25,Outdoor - Hard,
Portugal,Faro,M25,Outdoor - Hard,
Argentina,Tucuman,M25,Outdoor - Clay,
Mexico,Huamantla,M15,Outdoor - Hard,
Spain,Villena,M15,Outdoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
South Africa,Pretoria,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
China,Maanshan,M15,Indoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Switzerland,Trimbach,M25,Indoor - Carpet,
Portugal,Quinta do Lago,M25,Outdoor - Hard,
Canada,Sherbrooke,M15,Indoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Mexico,Huamantla,M15,Outdoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
France,Poitiers,M15,Indoor - Hard,
Spain,Torelló,M15,Outdoor - Hard,
