country,points,players
BOL,5348938,19
FRA,82870018,304
GER,116114210,347
ESP,101330196,331
SWE,36541705,107
GBR,45736711,174
RUS,34818653,162
CRO,23221456,103
ARG,64272608,261
MEX,43898352,116
CZE,34088179,123
ECU,5350018,32
JPN,31985325,111
SRB,10467498,63
NED,27576223,98
SEN,1077500,4
HAI,1632261,4
SUI,18825429,64
USA,168430727,494
LUX,2062935,6
HUN,16439362,41
ITA,74912402,277
RSA,34331745,83
CHN,17080249,57
AUS,75698394,228
GHA,2545268,9
SVK,18157808,64
SLO,14086806,46
POR,13288109,38
AUT,31877807,114
CHI,12276130,59
IRL,5416508,20
BRA,57897331,233
PAK,2020068,10
IND,31582907,106
ROU,20015906,108
BEL,15536457,51
FIN,10073032,30
GRE,7764924,27
BUL,6762587,38
INA,8258903,25
DEN,8030769,22
UKR,17816722,56
URU,5292545,15
TUR,7390588,20
CAN,20193500,60
POL,18986770,82
MON,1150992,7
BAH,3150201,8
NZL,9297640,32
PER,4462379,23
BLR,6349027,29
MKD,4777297,13
COL,11627591,47
YUG,2228320,3
ISR,20570449,57
VEN,6469181,45
CRC,1963884,4
KOR,18607860,76
SGP,1565911,2
UZB,10265195,27
CUB,2453958,12
AND,2242803,5
TPE,5188462,23
EGY,6456789,29
MAR,7482777,36
THA,4627519,22
BOT,1107763,2
CYP,834338,4
JOR,1567138,2
UAE,2079857,5
CMR,917304,3
TOG,2313163,6
HKG,3558067,9
GUA,2223809,8
GEO,4237826,19
MDA,1466778,7
PAR,2358878,12
JAM,3921342,8
NOR,4026999,15
PHI,1867335,8
ESA,1709692,6
VIE,2886431,7
TRI,723897,1
ALG,2897310,12
ZIM,4114101,13
NGR,8944394,28
LTU,2222393,9
IRI,5595721,24
BEN,1484980,5
CIV,1138829,5
KGZ,692874,1
BIH,1879468,15
DOM,1541280,6
LAT,1987298,11
BAR,901569,3
QAT,2269772,5
BER,644838,1
LIB,1404962,5
OMA,866230,2
MRI,1106721,2
TAN,594847,1
KUW,2311204,8
CAY,541208,1
KEN,1147557,3
KAZ,674658,14
KSA,449798,1
BRN,449524,1
EST,567335,7
TUN,1703075,12
MLI,428925,1
SRI,826563,3
RWA,1189232,4
SYR,436897,6
PUR,970567,3
SUD,550549,2
TKM,325255,1
AZE,315715,1
ARM,394087,6
ARU,400103,2
AHO,443370,4
NAM,330126,2
PAN,188278,1
TJK,155159,1
CAM,115298,1
ISL,107634,1
BUR,38560,1
BDI,54993,2
MAD,14851,1
MNE,1759,2
UGA,1052,1
MLT,897,1
SOL,772,1
MAS,666,2
SLE,291,1
